X,Y
-78.57331296,33.84796784
-78.57507074,33.85210597
-78.57682852,33.85624409
-78.57950433,33.85981056
-78.58244246,33.86321369
-78.586282,33.86547326
-78.59027721,33.86753534
-78.59470535,33.86825586
-78.59915229,33.86891812
-78.60000568,33.87267839
-78.59875126,33.87619532
-78.5943899,33.87728729
-78.59002853,33.87837925
-78.58566717,33.87947122
-78.58130581,33.88056318
-78.57694444,33.88165515
-78.57258308,33.88274712
-78.56822171,33.88383908
-78.56386035,33.88493105
-78.55949899,33.88602302
-78.55513762,33.88711498
-78.55077626,33.88820695
-78.5464149,33.88929892
-78.54539954,33.88610385
-78.54674829,33.88228692
-78.55031012,33.87955677
-78.55317285,33.87608998
-78.55603558,33.87262319
-78.55889831,33.86915639
-78.55483247,33.87033136
-78.55053728,33.87165997
-78.54624209,33.87298859
-78.5419469,33.8743172
-78.53765171,33.87564581
-78.53335651,33.87697443
-78.52906132,33.87830304
-78.52476613,33.87963166
-78.52047094,33.88096027
-78.51617575,33.88228889
-78.51188056,33.8836175
-78.50758537,33.88494611
-78.50329018,33.88627473
-78.49899499,33.88760334
-78.49469979,33.88893196
-78.4904046,33.89026057
-78.48610941,33.89158918
-78.48181422,33.8929178
-78.47751903,33.89424641
-78.47322384,33.89557503
-78.46888886,33.89675518
-78.46450495,33.89775281
-78.46012105,33.89875045
-78.45573715,33.89974809
-78.45135325,33.90074572
-78.44696934,33.90174336
-78.44258544,33.90274099
-78.43820154,33.90373863
-78.43381763,33.90473626
-78.42943373,33.9057339
-78.42504983,33.90673154
-78.42066593,33.90772917
-78.41628202,33.90872681
-78.41189812,33.90972444
-78.40758144,33.91090628
-78.40358549,33.91296692
-78.39958953,33.91502755
-78.39559358,33.91708819
-78.39159762,33.91914883
-78.38760167,33.92120946
-78.3844152,33.92398156
-78.38288458,33.92820898
-78.38135396,33.9324364
-78.37982334,33.93666382
-78.37829273,33.94089124
-78.37676211,33.94511866
-78.37523149,33.94934608
-78.3718352,33.9509138
-78.36733921,33.9509138
-78.36599643,33.94668293
-78.36471145,33.94237448
-78.36342648,33.93806603
-78.3621415,33.93375758
-78.36196657,33.92933214
-78.3623251,33.92485048
-78.36450275,33.92099469
-78.36697761,33.91724116
-78.36334865,33.91603829
-78.35893895,33.91516166
-78.35452926,33.91428504
-78.35011956,33.91340842
-78.34570987,33.91253179
-78.34130017,33.91165517
-78.33689048,33.91077855
-78.33247829,33.9102884
-78.32805766,33.91110811
-78.32363703,33.91192781
-78.3192164,33.91274751
-78.31479577,33.91356722
-78.31037514,33.91438692
-78.30595451,33.91520663
-78.30153388,33.91602633
-78.29711325,33.91684603
-78.29269262,33.91766574
-78.28827199,33.91848544
-78.28385137,33.91930515
-78.27943074,33.92012485
-78.27501011,33.92094455
-78.27058948,33.92176426
-78.26616885,33.92258396
-78.26174822,33.92340367
-78.25732759,33.92422337
-78.25290696,33.92504307
-78.24848001,33.92440472
-78.24405243,33.92362338
-78.23962486,33.92284205
-78.23519729,33.92206071
-78.23076972,33.92127937
-78.22637437,33.92038424
-78.22219454,33.91872808
-78.2180147,33.91707191
-78.21382404,33.91547647
-78.20932938,33.9155856
-78.20483472,33.91569473
-78.20034006,33.91580387
-78.1958454,33.915913
-78.19135074,33.91602213
-78.18685608,33.91613126
-78.18236142,33.91624039
-78.17786676,33.91634952
-78.1733721,33.91645866
-78.16887744,33.91656779
-78.16438278,33.91667692
-78.15988812,33.91678605
-78.15540433,33.91653662
-78.15092454,33.91615536
