site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
21824,-77.807922,34.007038,Unknown,Unknown,1,offshore,16,7.97,0.365,43,43/21824.nc
21899,-77.802948,34.024834,Unknown,Unknown,1,offshore,16,7.95,0.363,43,43/21899.nc
21900,-77.781494,34.02071,Unknown,Unknown,1,offshore,16,8,0.367,43,43/21900.nc
21972,-77.797974,34.042629,Unknown,Unknown,1,offshore,16,7.94,0.362,43,43/21972.nc
21973,-77.77652,34.038513,Unknown,Unknown,1,offshore,16,7.99,0.367,43,43/21973.nc
21974,-77.755035,34.034386,Unknown,Unknown,1,offshore,16,8.02,0.37,43,43/21974.nc
22053,-77.79303,34.060429,Unknown,Unknown,1,offshore,16,7.92,0.361,44,44/22053.nc
22054,-77.771545,34.056313,Unknown,Unknown,1,offshore,16,7.97,0.365,44,44/22054.nc
22055,-77.750061,34.052181,Unknown,Unknown,1,offshore,16,8.01,0.369,44,44/22055.nc
22056,-77.728577,34.048054,Unknown,Unknown,1,offshore,16,8.05,0.372,44,44/22056.nc
22057,-77.578308,34.019009,Unknown,Unknown,1,offshore,16,8.17,0.383,44,44/22057.nc
22058,-77.556824,34.014839,Unknown,Unknown,1,offshore,16,8.19,0.384,44,44/22058.nc
22059,-77.5354,34.01067,Unknown,Unknown,1,offshore,16,8.19,0.385,44,44/22059.nc
22060,-77.513916,34.006485,Unknown,Unknown,1,offshore,16,8.2,0.386,44,44/22060.nc
22061,-77.492493,34.002304,Unknown,Unknown,1,offshore,16,8.21,0.386,44,44/22061.nc
22118,-77.788055,34.078232,Unknown,Unknown,1,offshore,16,7.9,0.36,44,44/22118.nc
22119,-77.766541,34.074112,Unknown,Unknown,1,offshore,16,7.96,0.364,44,44/22119.nc
22120,-77.745056,34.069977,Unknown,Unknown,1,offshore,16,8,0.368,44,44/22120.nc
22121,-77.723572,34.065849,Unknown,Unknown,1,offshore,16,8.04,0.372,44,44/22121.nc
22122,-77.573273,34.036793,Unknown,Unknown,1,offshore,16,8.17,0.383,44,44/22122.nc
22123,-77.551819,34.032623,Unknown,Unknown,1,offshore,16,8.19,0.384,44,44/22123.nc
22124,-77.530334,34.028446,Unknown,Unknown,1,offshore,16,8.2,0.385,44,44/22124.nc
22125,-77.508911,34.024269,Unknown,Unknown,1,offshore,16,8.21,0.386,44,44/22125.nc
22126,-77.487427,34.020092,Unknown,Unknown,1,offshore,16,8.22,0.386,44,44/22126.nc
22127,-77.358765,33.994888,Unknown,Unknown,1,offshore,16,8.27,0.39,44,44/22127.nc
22190,-77.933594,34.12476,Unknown,Unknown,1,offshore,16,6.88,0.266,44,44/22190.nc
22191,-77.761566,34.091908,Unknown,Unknown,1,offshore,16,7.94,0.363,44,44/22191.nc
22192,-77.740082,34.087772,Unknown,Unknown,1,offshore,16,7.99,0.368,44,44/22192.nc
22193,-77.718597,34.083652,Unknown,Unknown,1,offshore,16,8.03,0.371,44,44/22193.nc
22194,-77.675629,34.075371,Unknown,Unknown,1,offshore,16,8.09,0.376,44,44/22194.nc
22195,-77.654144,34.071213,Unknown,Unknown,1,offshore,16,8.11,0.378,44,44/22195.nc
22196,-77.63266,34.06707,Unknown,Unknown,1,offshore,16,8.13,0.379,44,44/22196.nc
22197,-77.611206,34.062908,Unknown,Unknown,1,offshore,16,8.15,0.381,44,44/22197.nc
22198,-77.589722,34.058746,Unknown,Unknown,1,offshore,16,8.16,0.382,44,44/22198.nc
22199,-77.568237,34.054581,Unknown,Unknown,1,offshore,16,8.17,0.383,44,44/22199.nc
22200,-77.546783,34.050411,Unknown,Unknown,1,offshore,16,8.19,0.384,44,44/22200.nc
22201,-77.525299,34.046238,Unknown,Unknown,1,offshore,16,8.2,0.385,44,44/22201.nc
22202,-77.503845,34.042057,Unknown,Unknown,1,offshore,16,8.21,0.386,44,44/22202.nc
22203,-77.482391,34.037868,Unknown,Unknown,1,offshore,16,8.22,0.386,44,44/22203.nc
22204,-77.460938,34.033684,Unknown,Unknown,1,offshore,16,8.23,0.387,44,44/22204.nc
22258,-77.756592,34.109711,Unknown,Unknown,1,offshore,16,7.93,0.362,44,44/22258.nc
22259,-77.735107,34.105576,Unknown,Unknown,1,offshore,16,7.98,0.367,44,44/22259.nc
22260,-77.713593,34.10144,Unknown,Unknown,1,offshore,16,8.02,0.37,44,44/22260.nc
22261,-77.670624,34.093155,Unknown,Unknown,1,offshore,16,8.08,0.376,44,44/22261.nc
22262,-77.649139,34.089012,Unknown,Unknown,1,offshore,16,8.11,0.377,44,44/22262.nc
22263,-77.627655,34.084854,Unknown,Unknown,1,offshore,16,8.13,0.379,44,44/22263.nc
22264,-77.606171,34.080696,Unknown,Unknown,1,offshore,16,8.15,0.381,44,44/22264.nc
22265,-77.584686,34.076538,Unknown,Unknown,1,offshore,16,8.16,0.382,44,44/22265.nc
22266,-77.563202,34.072365,Unknown,Unknown,1,offshore,16,8.18,0.383,44,44/22266.nc
22267,-77.541748,34.068199,Unknown,Unknown,1,offshore,16,8.19,0.384,44,44/22267.nc
22268,-77.520264,34.064014,Unknown,Unknown,1,offshore,16,8.2,0.385,44,44/22268.nc
22269,-77.498779,34.059837,Unknown,Unknown,1,offshore,16,8.21,0.386,44,44/22269.nc
22270,-77.477325,34.055653,Unknown,Unknown,1,offshore,16,8.22,0.387,44,44/22270.nc
22366,-77.751587,34.127514,Unknown,Unknown,1,offshore,16,7.91,0.36,44,44/22366.nc
22367,-77.730103,34.123371,Unknown,Unknown,1,offshore,16,7.96,0.365,44,44/22367.nc
22368,-77.708618,34.119236,Unknown,Unknown,1,offshore,16,8.01,0.369,44,44/22368.nc
22369,-77.665619,34.110958,Unknown,Unknown,1,offshore,16,8.08,0.375,44,44/22369.nc
22370,-77.644104,34.106804,Unknown,Unknown,1,offshore,16,8.1,0.377,44,44/22370.nc
22371,-77.62262,34.10265,Unknown,Unknown,1,offshore,16,8.12,0.379,44,44/22371.nc
22372,-77.601135,34.098499,Unknown,Unknown,1,offshore,16,8.14,0.381,44,44/22372.nc
22373,-77.579651,34.09433,Unknown,Unknown,1,offshore,16,8.16,0.382,44,44/22373.nc
22374,-77.558167,34.090157,Unknown,Unknown,1,offshore,16,8.18,0.383,44,44/22374.nc
22375,-77.536682,34.085991,Unknown,Unknown,1,offshore,16,8.19,0.385,44,44/22375.nc
22376,-77.515228,34.081806,Unknown,Unknown,1,offshore,16,8.2,0.386,44,44/22376.nc
22377,-77.493744,34.077629,Unknown,Unknown,1,offshore,16,8.22,0.386,44,44/22377.nc
22378,-77.47229,34.073433,Unknown,Unknown,1,offshore,16,8.22,0.387,44,44/22378.nc
22480,-77.746613,34.145309,Unknown,Unknown,1,offshore,16,7.88,0.359,44,44/22480.nc
22481,-77.725098,34.141178,Unknown,Unknown,1,offshore,16,7.95,0.364,44,44/22481.nc
22482,-77.703613,34.137043,Unknown,Unknown,1,offshore,16,7.99,0.368,44,44/22482.nc
22483,-77.660583,34.12875,Unknown,Unknown,1,offshore,16,8.07,0.374,44,44/22483.nc
22484,-77.639099,34.124596,Unknown,Unknown,1,offshore,16,8.1,0.377,44,44/22484.nc
22485,-77.617615,34.120445,Unknown,Unknown,1,offshore,16,8.12,0.379,44,44/22485.nc
22486,-77.59613,34.116283,Unknown,Unknown,1,offshore,16,8.14,0.381,44,44/22486.nc
22487,-77.574615,34.11211,Unknown,Unknown,1,offshore,16,8.16,0.382,44,44/22487.nc
